Archivo;ID Empresa;Interno;Fecha Inicio primer turno;Hora Inicio primer turno;Minutos Inicio primer turno;Fecha cierre ultimo turno;Hora cierre ultimo turno;Minutos cierre ultimo turno;Duración;Distancia;Velocidad promedio;Cant. Trx.;Recaudacion;Reinicios;Inicio del primer turno;Cierre del último turno
TLL_0265_482_01084_0000003547_02416_20230113_232625_04.19.bin;265;1084;13/1/2023 00:00:00;11;36;13/1/2023 00:00:00;17;18;5:41:10;102,694;18,06;87;569,5;0;13/1/2023 11:36:51;13/1/2023 17:18:01
TLL_0265_482_01084_0000003547_02417_20230114_000645_04.19.bin;265;1084;13/1/2023 00:00:00;17;20;13/1/2023 00:00:00;23;10;5:49:44;102,654;17,61;65;443;0;13/1/2023 17:20:48;13/1/2023 23:10:32
TLL_0265_482_01084_0000003547_02418_20230116_045128_04.19.bin;265;1084;16/1/2023 00:00:00;4;51;16/1/2023 00:00:00;4;51;0:00:09;0;0,00;0;0;0;16/1/2023 04:51:03;16/1/2023 04:51:12
TLL_0265_482_01084_0000003547_02419_20230116_100833_04.19.bin;265;1084;16/1/2023 00:00:00;5;31;16/1/2023 00:00:00;9;57;4:26:49;74,165;16,68;69;353;0;16/1/2023 05:31:05;16/1/2023 09:57:54
TLL_0265_482_01084_0000003547_02420_20230116_234447_04.19.bin;265;1084;16/1/2023 00:00:00;12;14;16/1/2023 00:00:00;17;10;4:55:20;90,624;18,41;51;407;0;16/1/2023 12:14:58;16/1/2023 17:10:18
TLL_0265_482_01084_0000003547_02421_20230117_000321_04.19.bin;265;1084;16/1/2023 00:00:00;17;21;16/1/2023 00:00:00;23;5;5:43:37;103,46;18,07;57;408,5;0;16/1/2023 17:21:34;16/1/2023 23:05:11
TLL_0265_482_01084_0000003547_02422_20230118_045040_04.19.bin;265;1084;18/1/2023 00:00:00;4;50;18/1/2023 00:00:00;4;50;0:00:09;0;0,00;0;0;0;18/1/2023 04:50:11;18/1/2023 04:50:20
TLL_0265_482_01084_0000003547_02423_20230118_230439_04.19.bin;265;1084;18/1/2023 00:00:00;5;10;18/1/2023 00:00:00;11;31;6:21:23;103,572;16,29;99;513;0;18/1/2023 05:10:00;18/1/2023 11:31:23
TLL_0265_482_01084_0000003547_02424_20230118_230757_04.19.bin;265;1084;18/1/2023 00:00:00;11;38;18/1/2023 00:00:00;17;12;5:34:13;102,951;18,48;70;430,5;0;18/1/2023 11:38:04;18/1/2023 17:12:17
TLL_0265_482_01084_0000003547_02425_20230118_232516_04.19.bin;265;1084;18/1/2023 00:00:00;17;15;18/1/2023 00:00:00;23;4;5:48:40;101,769;17,51;47;269,5;0;18/1/2023 17:15:41;18/1/2023 23:04:21
TLL_0265_482_01084_0000003547_02426_20230120_045244_04.19.bin;265;1084;20/1/2023 00:00:00;4;51;20/1/2023 00:00:00;4;52;0:00:29;0;0,00;0;0;0;20/1/2023 04:51:58;20/1/2023 04:52:27
TLL_0265_482_01084_0000003547_02427_20230121_053115_04.19.bin;265;1084;20/1/2023 00:00:00;5;2;20/1/2023 00:00:00;11;31;6:28:58;104,627;16,14;135;719;0;20/1/2023 05:02:16;20/1/2023 11:31:14
TLL_0265_482_01084_0000003547_02428_20230121_054936_04.19.bin;265;1084;20/1/2023 00:00:00;11;36;20/1/2023 00:00:00;17;12;5:35:41;102,914;18,39;51;328;0;20/1/2023 11:36:22;20/1/2023 17:12:03
TLL_0265_482_01084_0000003547_02429_20230121_051543_04.19.bin;265;1084;20/1/2023 00:00:00;17;16;20/1/2023 00:00:00;23;4;5:47:35;102,72;17,73;38;231,5;0;20/1/2023 17:16:33;20/1/2023 23:04:08
TLL_0265_482_01084_0000003547_02430_20230123_110007_04.19.bin;265;1084;23/1/2023 00:00:00;4;50;23/1/2023 00:00:00;4;50;0:00:08;0;0,00;0;0;0;23/1/2023 04:50:04;23/1/2023 04:50:12
TLL_0265_482_01084_0000003547_02431_20230123_110007_04.19.bin;265;1084;23/1/2023 00:00:00;5;50;23/1/2023 00:00:00;10;10;4:19:13;74,658;17,28;66;296;0;23/1/2023 05:50:48;23/1/2023 10:10:01
TLL_0265_482_01084_0000003547_02432_20230123_230614_04.19.bin;265;1084;23/1/2023 00:00:00;11;14;23/1/2023 00:00:00;11;31;0:16:44;6,311;22,63;9;59;0;23/1/2023 11:14:32;23/1/2023 11:31:16
TLL_0265_482_01084_0000003547_02433_20230123_230645_04.19.bin;265;1084;23/1/2023 00:00:00;11;32;23/1/2023 00:00:00;17;11;5:38:52;102,731;18,19;68;442,5;0;23/1/2023 11:32:52;23/1/2023 17:11:44
TLL_0265_482_01084_0000003547_02434_20230123_230718_04.19.bin;265;1084;23/1/2023 00:00:00;17;16;23/1/2023 00:00:00;23;5;5:49:11;101,488;17,44;32;234,5;0;23/1/2023 17:16:48;23/1/2023 23:05:59
TLL_0265_482_01084_0000003547_02435_20230125_044838_04.19.bin;265;1084;25/1/2023 00:00:00;4;48;25/1/2023 00:00:00;4;48;0:00:17;0;0,00;0;0;0;25/1/2023 04:48:02;25/1/2023 04:48:19
TLL_0265_482_01084_0000003547_02436_20230126_101020_04.19.bin;265;1084;25/1/2023 00:00:00;5;9;25/1/2023 00:00:00;6;5;0:55:49;7,168;7,71;0;0;0;25/1/2023 05:09:39;25/1/2023 06:05:28
TLL_0265_482_01084_0000003547_02437_20230126_101051_04.19.bin;265;1084;25/1/2023 00:00:00;6;5;25/1/2023 00:00:00;11;31;5:25:10;98,159;18,11;122;619,5;0;25/1/2023 06:05:50;25/1/2023 11:31:00
TLL_0265_482_01084_0000003547_02438_20230126_101224_04.19.bin;265;1084;25/1/2023 00:00:00;11;32;25/1/2023 00:00:00;17;9;5:36:23;102,674;18,31;73;465;0;25/1/2023 11:32:42;25/1/2023 17:09:05
TLL_0265_482_01084_0000003547_02439_20230126_101227_04.19.bin;265;1084;25/1/2023 00:00:00;17;12;26/1/2023 00:00:00;9;20;16:07:28;110,804;6,87;79;597;0;25/1/2023 17:12:32;26/1/2023 09:20:00
TLL_0265_482_01084_0000003547_02440_20230127_044827_04.19.bin;265;1084;27/1/2023 00:00:00;4;48;27/1/2023 00:00:00;4;48;0:00:09;0;0,00;0;0;0;27/1/2023 04:48:01;27/1/2023 04:48:10
TLL_0265_482_01084_0000003547_02441_20230128_044708_04.19.bin;265;1084;27/1/2023 00:00:00;5;33;27/1/2023 00:00:00;11;22;5:49:11;102,496;17,61;41;208;0;27/1/2023 05:33:21;27/1/2023 11:22:32
TLL_0265_482_01084_0000003547_02442_20230128_044709_04.19.bin;265;1084;27/1/2023 00:00:00;11;24;27/1/2023 00:00:00;17;12;5:47:48;102,383;17,66;84;481,5;0;27/1/2023 11:24:20;27/1/2023 17:12:08
TLL_0265_482_01084_0000003547_02443_20230128_044727_04.19.bin;265;1084;27/1/2023 00:00:00;17;13;27/1/2023 00:00:00;22;59;5:45:43;101,711;17,65;76;509,5;0;27/1/2023 17:13:22;27/1/2023 22:59:05
TLL_0265_482_01084_0000003547_02444_20230130_045047_04.19.bin;265;1084;30/1/2023 00:00:00;4;50;30/1/2023 00:00:00;4;50;0:00:09;0;0,00;0;0;0;30/1/2023 04:50:20;30/1/2023 04:50:29
TLL_0265_482_01084_0000003547_02445_20230131_002336_04.19.bin;265;1084;30/1/2023 00:00:00;5;3;30/1/2023 00:00:00;11;15;6:12:03;95,368;15,38;145;592;0;30/1/2023 05:03:28;30/1/2023 11:15:31
TLL_0265_482_01084_0000003547_02446_20230131_000617_04.19.bin;265;1084;30/1/2023 00:00:00;11;18;30/1/2023 00:00:00;17;11;5:53:24;110,766;18,81;84;550,5;0;30/1/2023 11:18:16;30/1/2023 17:11:40
TLL_0265_482_01084_0000003547_02447_20230131_002624_04.19.bin;265;1084;30/1/2023 00:00:00;17;12;30/1/2023 00:00:00;22;58;5:45:31;101,468;17,62;56;373,5;0;30/1/2023 17:12:49;30/1/2023 22:58:20
TLL_0265_482_01084_0000003547_02448_20230201_050321_04.19.bin;265;1084;1/2/2023 00:00:00;4;57;1/2/2023 00:00:00;4;57;0:00:14;0;0,00;0;0;0;1/2/2023 04:57:20;1/2/2023 04:57:34
TLL_0265_482_01084_0000003547_02449_20230201_235231_04.19.bin;265;1084;1/2/2023 00:00:00;5;24;1/2/2023 00:00:00;11;13;5:49:06;95,173;16,36;121;643,5;0;1/2/2023 05:24:03;1/2/2023 11:13:09
TLL_0265_482_01084_0000003547_02450_20230202_004948_04.19.bin;265;1084;1/2/2023 00:00:00;11;15;1/2/2023 00:00:00;17;7;5:52:20;110,935;18,89;72;448,5;0;1/2/2023 11:15:29;1/2/2023 17:07:49
TLL_0265_482_01084_0000003547_02451_20230201_231816_04.19.bin;265;1084;1/2/2023 00:00:00;17;16;1/2/2023 00:00:00;22;51;5:35:07;101,083;18,10;53;359,5;0;1/2/2023 17:16:49;1/2/2023 22:51:56
TLL_0265_482_01084_0000003547_02452_20230203_045127_04.19.bin;265;1084;3/2/2023 00:00:00;4;50;3/2/2023 00:00:00;4;50;0:00:08;0;0,00;0;0;0;3/2/2023 04:50:47;3/2/2023 04:50:55
TLL_0265_482_01084_0000003547_02453_20230203_233757_04.19.bin;265;1084;3/2/2023 00:00:00;5;11;3/2/2023 00:00:00;11;10;5:59:00;94,981;15,87;119;593;0;3/2/2023 05:11:29;3/2/2023 11:10:29
TLL_0265_482_01084_0000003547_02454_20230203_231951_04.19.bin;265;1084;3/2/2023 00:00:00;11;13;3/2/2023 00:00:00;17;11;5:58:40;110,551;18,49;103;623;0;3/2/2023 11:13:12;3/2/2023 17:11:52
TLL_0265_482_01084_0000003547_02455_20230203_232108_04.19.bin;265;1084;3/2/2023 00:00:00;17;16;3/2/2023 00:00:00;22;59;5:42:59;102,554;17,94;73;496;0;3/2/2023 17:16:17;3/2/2023 22:59:16
TLL_0265_482_01088_0000000097_03145_20221230_220318_04.19.bin;265;1088;30/12/2022 00:00:00;5;15;30/12/2022 00:00:00;8;47;3:32:11;49,72;14,06;28;170;0;30/12/2022 05:15:17;30/12/2022 08:47:28
TLL_0265_482_01088_0000000097_03146_20221230_220319_04.19.bin;265;1088;30/12/2022 00:00:00;8;50;30/12/2022 00:00:00;9;59;1:09:07;18,376;15,95;14;64,5;0;30/12/2022 08:50:41;30/12/2022 09:59:48
TLL_0265_482_01088_0000000097_03147_20221230_220320_04.19.bin;265;1088;30/12/2022 00:00:00;10;4;30/12/2022 00:00:00;13;31;3:26:36;53,739;15,61;33;134,5;0;30/12/2022 10:04:33;30/12/2022 13:31:09
TLL_0265_482_01088_0000000097_03148_20221230_220321_04.19.bin;265;1088;30/12/2022 00:00:00;13;38;30/12/2022 00:00:00;13;38;0:00:04;0;0,00;0;0;0;30/12/2022 13:38:15;30/12/2022 13:38:19
TLL_0265_482_01088_0000000097_03149_20221230_220322_04.19.bin;265;1088;30/12/2022 00:00:00;13;38;30/12/2022 00:00:00;16;49;3:10:28;55,34;17,43;13;69;0;30/12/2022 13:38:41;30/12/2022 16:49:09
TLL_0265_482_01088_0000000097_03150_20221230_220323_04.19.bin;265;1088;30/12/2022 00:00:00;16;59;30/12/2022 00:00:00;18;19;1:20:50;18,476;13,71;11;64,5;0;30/12/2022 16:59:08;30/12/2022 18:19:58
TLL_0265_482_01088_0000000097_03151_20221230_220324_04.19.bin;265;1088;30/12/2022 00:00:00;18;20;30/12/2022 00:00:00;21;37;3:16:46;55,277;16,86;36;269;0;30/12/2022 18:20:21;30/12/2022 21:37:07
TLL_0265_482_01088_0000000097_03152_20230102_140701_04.19.bin;265;1088;2/1/2023 00:00:00;12;33;2/1/2023 00:00:00;12;34;0:01:03;0;0,00;0;0;0;2/1/2023 12:33:33;2/1/2023 12:34:36
TLL_0265_482_01088_0000000097_03153_20230102_140701_04.19.bin;265;1088;2/1/2023 00:00:00;12;34;2/1/2023 00:00:00;13;51;1:16:14;23,783;18,72;9;60;0;2/1/2023 12:34:58;2/1/2023 13:51:12
TLL_0265_482_01088_0000000097_03154_20230103_045310_04.19.bin;265;1088;3/1/2023 00:00:00;4;52;3/1/2023 00:00:00;4;52;0:00:10;0;0,00;0;0;0;3/1/2023 04:52:44;3/1/2023 04:52:54
TLL_0265_482_01088_0000000097_03155_20230103_230700_04.19.bin;265;1088;3/1/2023 00:00:00;5;48;3/1/2023 00:00:00;11;22;5:34:43;89,553;16,05;77;411,5;0;3/1/2023 05:48:04;3/1/2023 11:22:47
TLL_0265_482_01088_0000000097_03156_20230103_230702_04.19.bin;265;1088;3/1/2023 00:00:00;11;27;3/1/2023 00:00:00;11;28;0:01:04;0;0,00;0;0;0;3/1/2023 11:27:16;3/1/2023 11:28:20
TLL_0265_482_01088_0000000097_03157_20230103_230703_04.19.bin;265;1088;3/1/2023 00:00:00;11;29;3/1/2023 00:00:00;17;14;5:44:58;95,809;16,66;55;239,5;0;3/1/2023 11:29:14;3/1/2023 17:14:12
